job_ID,job_type,container_number,QC_name,QC_job_sequence,yard_name,alt_yard_names,assigned_yard_name,assigned_HT_name,yard_status,QC_status,HT_status,job_status,start_time,end_time
JOB6022768C,DI,CONT5708165Z,QC1,QC1_0001,G2,"['F2', 'E1', 'G1']",G2,HT_03,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,0,3130
JOB5002657W,DI,CONT1860335I,QC1,QC1_0002,A2,"['E1', 'H1', 'C1']",E1,HT_04,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,0,3340
JOB5258086K,DI,CONT3659128V,QC1,QC1_0003,C1,"['H2', 'F1', 'B2']",C1,HT_05,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,0,3420
JOB2271333I,DI,CONT6717804P,QC1,QC1_0004,D2,"['A2', 'B1', 'A1']",B1,HT_06,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,0,3430
JOB8759358T,DI,CONT9163683U,QC1,QC1_0005,D2,"['E1', 'G2', 'A1']",D2,HT_01,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,0,3710
JOB8310679H,LO,CONT0831003J,QC1,QC1_0006,A1,"[nan, nan, nan]",A1,HT_02,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,0,3340
JOB8348136W,DI,CONT8500141R,QC1,QC1_0007,B2,"['B1', 'C2', 'F2']",B2,HT_07,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,0,5460
JOB9661713U,LO,CONT1305276K,QC1,QC1_0008,E1,"[nan, nan, nan]",E1,HT_41,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,0,3530
JOB6237088M,LO,CONT4210412L,QC1,QC1_0009,C1,"[nan, nan, nan]",C1,HT_21,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,0,3740
JOB2298363U,DI,CONT5567185Z,QC1,QC1_0010,G2,"['D2', 'A2', 'G1']",D2,HT_08,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,Status.COMPLETED,0,5940
